person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_burden,emp_stability
32,48400,RENT,1.0,MEDICAL,A,12000,6.62,0.25,N,7,0.24793388429752067,0.03125
28,27600,OWN,2.0,HOMEIMPROVEMENT,A,6000,8.9,0.22,N,8,0.21739130434782608,0.07142857142857142
36,76464,RENT,8.0,MEDICAL,C,20000,13.22,0.26,Y,12,0.26156099602427285,0.2222222222222222
35,46000,RENT,2.0,PERSONAL,C,12800,13.48,0.28,Y,8,0.2782608695652174,0.05714285714285714
26,77000,RENT,2.0,DEBTCONSOLIDATION,B,12000,11.71,0.16,N,2,0.15584415584415584,0.07692307692307693
25,32000,RENT,3.0,DEBTCONSOLIDATION,A,3000,8.94,0.09,N,3,0.09375,0.12
23,33000,OWN,5.0,VENTURE,B,3600,11.58,0.11,N,4,0.10909090909090909,0.21739130434782608
30,165000,MORTGAGE,3.0,EDUCATION,D,5000,15.62,0.03,Y,10,0.030303030303030304,0.1
29,70000,RENT,2.0,VENTURE,A,6125,7.49,0.09,N,8,0.0875,0.06896551724137931
29,45600,MORTGAGE,7.0,VENTURE,B,9600,10.36,0.21,N,5,0.21052631578947367,0.2413793103448276
42,55308,OWN,8.0,VENTURE,B,2000,11.49,0.04,N,15,0.036161134013162656,0.19047619047619047
25,60000,RENT,5.0,EDUCATION,A,21450,7.29,0.36,N,4,0.3575,0.2
32,26400,RENT,0.0,VENTURE,A,8000,7.51,0.3,N,6,0.30303030303030304,0.0
22,46000,RENT,1.0,DEBTCONSOLIDATION,D,6200,,0.13,N,3,0.13478260869565217,0.045454545454545456
22,92496,MORTGAGE,2.0,EDUCATION,A,10200,,0.11,N,4,0.11027503892060198,0.09090909090909091
30,60000,MORTGAGE,5.0,VENTURE,A,4000,6.99,0.07,N,7,0.06666666666666667,0.16666666666666666
36,72000,RENT,8.0,PERSONAL,B,10000,11.49,0.14,N,14,0.1388888888888889,0.2222222222222222
22,39996,RENT,4.0,PERSONAL,C,3000,14.35,0.08,Y,3,0.075007500750075,0.18181818181818182
43,39000,MORTGAGE,12.0,VENTURE,B,8000,9.99,0.21,N,16,0.20512820512820512,0.27906976744186046
22,46500,MORTGAGE,0.0,DEBTCONSOLIDATION,B,9500,12.69,0.2,N,4,0.20430107526881722,0.0
44,36000,RENT,6.0,VENTURE,D,4000,15.2,0.11,N,12,0.1111111111111111,0.13636363636363635
26,75000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,12500,5.99,0.17,N,2,0.16666666666666666,0.19230769230769232
36,135000,RENT,0.0,DEBTCONSOLIDATION,C,24250,12.87,0.18,Y,15,0.17962962962962964,0.0
28,57000,RENT,2.0,HOMEIMPROVEMENT,C,6000,13.49,0.11,Y,8,0.10526315789473684,0.07142857142857142
27,39000,RENT,4.0,DEBTCONSOLIDATION,B,7200,10.65,0.18,N,5,0.18461538461538463,0.14814814814814814
22,52500,MORTGAGE,3.0,DEBTCONSOLIDATION,B,4000,10.65,0.08,N,4,0.0761904761904762,0.13636363636363635
29,60000,RENT,11.0,EDUCATION,C,10000,11.97,0.17,N,5,0.16666666666666666,0.3793103448275862
23,60000,RENT,3.0,PERSONAL,A,12000,9.63,0.2,N,2,0.2,0.13043478260869565
23,39996,MORTGAGE,5.0,EDUCATION,A,10000,7.51,0.25,N,3,0.25002500250025,0.21739130434782608
24,45000,RENT,1.0,DEBTCONSOLIDATION,B,12000,10.99,0.27,N,3,0.26666666666666666,0.041666666666666664
22,37342,RENT,3.0,VENTURE,C,4500,11.03,0.12,Y,2,0.1205077392748112,0.13636363636363635
28,32004,RENT,5.0,VENTURE,C,6000,13.99,0.19,N,9,0.18747656542932134,0.17857142857142858
22,73063,MORTGAGE,4.0,PERSONAL,C,11200,,0.15,Y,2,0.15329236412411207,0.18181818181818182
37,160000,MORTGAGE,3.0,PERSONAL,A,24000,6.54,0.15,N,15,0.15,0.08108108108108109
21,33996,RENT,1.0,PERSONAL,C,6000,12.53,0.18,Y,3,0.17649135192375573,0.047619047619047616
43,350000,MORTGAGE,3.0,MEDICAL,B,18000,11.49,0.05,N,16,0.05142857142857143,0.06976744186046512
27,63000,RENT,2.0,HOMEIMPROVEMENT,A,8000,7.51,0.13,N,6,0.12698412698412698,0.07407407407407407
33,59500,MORTGAGE,6.0,VENTURE,A,11000,,0.18,N,8,0.18487394957983194,0.18181818181818182
27,110000,RENT,6.0,EDUCATION,C,16000,15.27,0.15,N,8,0.14545454545454545,0.2222222222222222
22,32000,RENT,0.0,PERSONAL,D,7875,14.91,0.25,N,2,0.24609375,0.0
23,65500,RENT,2.0,DEBTCONSOLIDATION,C,20000,13.22,0.31,N,2,0.3053435114503817,0.08695652173913043
23,58000,RENT,1.0,VENTURE,B,4000,10.74,0.07,N,2,0.06896551724137931,0.043478260869565216
30,36000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,2400,10.65,0.07,N,10,0.06666666666666667,0.1
22,22000,MORTGAGE,3.0,VENTURE,A,6500,,0.3,N,4,0.29545454545454547,0.13636363636363635
24,55600,MORTGAGE,2.0,HOMEIMPROVEMENT,C,11700,13.57,0.21,Y,2,0.210431654676259,0.08333333333333333
22,31200,RENT,1.0,EDUCATION,B,3200,11.99,0.1,N,4,0.10256410256410256,0.045454545454545456
39,114996,MORTGAGE,15.0,DEBTCONSOLIDATION,A,12500,6.54,0.11,N,11,0.10869943302375734,0.38461538461538464
45,140000,RENT,10.0,EDUCATION,A,8175,5.99,0.06,N,17,0.05839285714285714,0.2222222222222222
24,34000,MORTGAGE,1.0,DEBTCONSOLIDATION,D,7000,14.09,0.21,N,2,0.20588235294117646,0.041666666666666664
22,43200,MORTGAGE,1.0,PERSONAL,D,8400,16.77,0.19,N,4,0.19444444444444445,0.045454545454545456
25,145000,MORTGAGE,3.0,EDUCATION,B,25000,11.36,0.17,N,4,0.1724137931034483,0.12
27,85500,RENT,1.0,HOMEIMPROVEMENT,D,11000,15.99,0.13,Y,5,0.1286549707602339,0.037037037037037035
22,65000,MORTGAGE,1.0,PERSONAL,B,7500,10.08,0.12,N,4,0.11538461538461539,0.045454545454545456
25,45000,RENT,3.0,MEDICAL,C,10000,12.87,0.22,Y,3,0.2222222222222222,0.12
