person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_burden,emp_stability,loan_status,pd,risk_bucket,approved,risk_order
23,36000,RENT,2.0,VENTURE,C,17500,14.22,0.49,N,4,0.4861111111111111,0.0869565217391304,1,0.8956224068154675,E - Highest Risk,False,5
24,55200,MORTGAGE,0.0,MEDICAL,D,6000,14.42,0.11,Y,2,0.10869565217391304,0.0,1,0.495216269957121,D - High Risk,False,4
38,140000,MORTGAGE,2.0,MEDICAL,B,8000,10.95,0.06,N,14,0.05714285714285714,0.0526315789473684,0,0.16523569414177802,A - Lowest Risk,True,1
25,14400,RENT,0.0,VENTURE,C,1500,12.99,0.1,Y,2,0.10416666666666667,0.0,1,0.5122461859283708,D - High Risk,False,4
24,65000,MORTGAGE,3.0,EDUCATION,B,12000,9.91,0.18,N,4,0.18461538461538463,0.125,0,0.23707989618530445,B - Low Risk,True,2
47,305000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,10000,13.43,0.03,Y,12,0.03278688524590164,0.1276595744680851,0,0.32895854338472036,C - Medium Risk,True,3
26,65000,RENT,5.0,HOMEIMPROVEMENT,A,15000,7.66,0.23,N,4,0.23076923076923078,0.1923076923076923,0,0.6829702136564431,E - Highest Risk,False,5
23,50000,OWN,4.0,VENTURE,A,4800,5.99,0.1,N,3,0.096,0.1739130434782608,0,0.037035704640803115,A - Lowest Risk,True,1
23,85000,RENT,0.0,DEBTCONSOLIDATION,A,7175,7.49,0.08,N,4,0.08441176470588235,0.0,0,0.41261188957589434,C - Medium Risk,True,3
23,33000,RENT,0.0,DEBTCONSOLIDATION,A,3725,6.54,0.11,N,2,0.11287878787878788,0.0,0,0.47110560654839295,D - High Risk,False,4
24,60000,RENT,5.0,EDUCATION,B,3500,11.86,0.06,N,4,0.058333333333333334,0.2083333333333333,0,0.19133739982090628,B - Low Risk,True,2
28,61500,RENT,1.0,HOMEIMPROVEMENT,B,4000,10.95,0.07,N,8,0.06504065040650407,0.0357142857142857,0,0.37913179862957946,C - Medium Risk,True,3
23,111150,MORTGAGE,1.0,DEBTCONSOLIDATION,A,10000,8.0,0.09,N,3,0.0899685110211426,0.0434782608695652,0,0.22405291372743028,B - Low Risk,True,2
27,65000,RENT,5.0,PERSONAL,E,7000,16.82,0.11,N,9,0.1076923076923077,0.1851851851851851,0,0.305846722863874,B - Low Risk,True,2
25,60000,RENT,3.0,PERSONAL,C,12000,14.26,0.2,N,4,0.2,0.12,0,0.5083394409334024,D - High Risk,False,4
21,30000,RENT,0.0,DEBTCONSOLIDATION,A,1500,7.29,0.05,N,3,0.05,0.0,0,0.3419922644487258,C - Medium Risk,True,3
39,86000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8500,6.03,0.1,N,11,0.09883720930232558,0.2564102564102564,0,0.19326465287468816,B - Low Risk,True,2
26,81600,MORTGAGE,1.0,DEBTCONSOLIDATION,B,7200,11.99,0.09,N,3,0.08823529411764706,0.0384615384615384,0,0.22146212374139104,B - Low Risk,True,2
34,19600,RENT,3.0,PERSONAL,B,4500,10.59,0.23,N,9,0.22959183673469388,0.088235294117647,1,0.5767881661701991,D - High Risk,False,4
37,85000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,5500,12.69,0.06,N,11,0.06470588235294118,0.1081081081081081,0,0.18342803498136437,A - Lowest Risk,True,1
27,135000,MORTGAGE,3.0,MEDICAL,B,25000,11.12,0.19,N,8,0.18518518518518517,0.1111111111111111,0,0.35948546837316303,C - Medium Risk,True,3
22,50000,OWN,1.0,EDUCATION,A,3600,,0.07,N,3,0.072,0.0454545454545454,0,0.04178294676523482,A - Lowest Risk,True,1
33,114996,MORTGAGE,0.0,PERSONAL,B,7450,11.71,0.06,N,5,0.06478486208215938,0.0,0,0.12907206314709718,A - Lowest Risk,True,1
29,38000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,2450,,0.06,Y,6,0.06447368421052632,0.0,0,0.44178686997374983,C - Medium Risk,True,3
22,35004,OWN,1.0,VENTURE,B,9000,10.0,0.26,N,2,0.2571134727459719,0.0454545454545454,0,0.14727593745044743,A - Lowest Risk,True,1
29,8500,RENT,7.0,VENTURE,A,4500,8.63,0.53,N,10,0.5294117647058824,0.2413793103448276,1,0.9134352562948884,E - Highest Risk,False,5
34,47652,RENT,6.0,VENTURE,C,2400,13.22,0.05,Y,5,0.05036514731805591,0.1764705882352941,0,0.3467455259902001,C - Medium Risk,True,3
28,120000,MORTGAGE,0.0,PERSONAL,B,20000,,0.17,N,5,0.16666666666666666,0.0,0,0.26316615376167396,B - Low Risk,True,2
31,122000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,6000,9.38,0.05,N,9,0.04918032786885246,0.0967741935483871,0,0.16836625658221097,A - Lowest Risk,True,1
23,42000,RENT,3.0,HOMEIMPROVEMENT,D,8000,15.58,0.19,N,2,0.19047619047619047,0.1304347826086956,1,0.6196471245683514,D - High Risk,False,4
27,54996,OWN,2.0,HOMEIMPROVEMENT,D,8000,14.11,0.15,Y,9,0.14546512473634446,0.074074074074074,0,0.3400318253652391,C - Medium Risk,True,3
27,56000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,10000,6.91,0.18,N,8,0.17857142857142858,0.074074074074074,1,0.3903365438290411,C - Medium Risk,True,3
27,120000,RENT,0.0,DEBTCONSOLIDATION,A,7200,7.29,0.06,N,10,0.06,0.0,0,0.36841236349096895,C - Medium Risk,True,3
29,75840,OWN,5.0,HOMEIMPROVEMENT,G,25000,21.27,0.33,N,6,0.32964135021097046,0.1724137931034483,1,0.418423930425492,C - Medium Risk,True,3
27,48000,RENT,5.0,VENTURE,B,12000,11.71,0.25,N,6,0.25,0.1851851851851851,0,0.5010365173091793,D - High Risk,False,4
37,37500,RENT,0.0,PERSONAL,A,6750,6.91,0.18,N,16,0.18,0.0,0,0.5064152095185682,D - High Risk,False,4
29,280000,MORTGAGE,6.0,VENTURE,C,15000,12.99,0.05,N,7,0.05357142857142857,0.2068965517241379,0,0.067834135765906,A - Lowest Risk,True,1
